Name,Months
Swimming pool assets: Heaters: Gas,180
Swimming pool assets: Heaters: Solar,240
Swimming pool assets: Swimming pools (used as plant in a business): Above-ground,120
Swimming pool assets: Swimming pools (used as plant in a business): Concrete,600
Swimming pool assets: Swimming pools (used as plant in a business): Fibreglass,240
Switchboards,240
Synthetic lawn surfaces,60
Tarpaulins,60
Telephony: Mobile phones,36
"Telephony: Telephone systems (including analogue and digital telephone systems, PABX/PBX systems, key/commander systems, VoIP systems and hybrid telephone systems such as IP-PBX systems etc)",84
Television sets,120
Tractors,144
Two-way radios: Base stations,72
Two-way radios: Mobile units,72
Two-way radios: Portable units,36
Two-way radios: Repeaters,84
Unmanned aerial vehicles (drones/remotely piloted aircraft): Fixed wing,36
Unmanned aerial vehicles (drones/remotely piloted aircraft): Rotary wing,24
Vending machines,60
"Ventilation fans (excluding ducting, piping and vents)",240
Warehouse and distribution centre equipment and machines: Automated storage and retrieval machines,240
Warehouse and distribution centre equipment and machines: Balers,180
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Batteries (detachable for recharging),60
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Battery chargers: Forklifts,132
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Battery chargers: Other,120
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Handling assets: Battery tuggers,120
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Handling assets: Racking roller beds,180
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Handling assets: Transfer carts,120
Warehouse and distribution centre equipment and machines: Battery assets for warehouse vehicles (including pallet trucks and forklifts): Handling assets: Washers,120
Warehouse and distribution centre equipment and machines: Carts/buggies,180
Warehouse and distribution centre equipment and machines: Conveyors,180
"Warehouse and distribution centre equipment and machines: Door controls and motor drive systems (incorporating chains, controls, motors and sensors, but excluding doors): External",240
"Warehouse and distribution centre equipment and machines: Door controls and motor drive systems (incorporating chains, controls, motors and sensors, but excluding doors): Internal",120
Warehouse and distribution centre equipment and machines: Floor sweepers/scrubbers,120
Warehouse and distribution centre equipment and machines: Forklift attachments: Cages,120
Warehouse and distribution centre equipment and machines: Forklift attachments: Push pull units,132
Warehouse and distribution centre equipment and machines: Inflatable dock bags/seals/shelters,120
Warehouse and distribution centre equipment and machines: Pallet assets: Dispensers,180
Warehouse and distribution centre equipment and machines: Pallet assets: Lift tables,120
Warehouse and distribution centre equipment and machines: Racks,240
Warehouse and distribution centre equipment and machines: Radio frequency terminal assets: Barcode readers/scanners,60
Warehouse and distribution centre equipment and machines: Radio frequency terminal assets: Portable/handheld and vehicle mounted terminal devices,48
Warehouse and distribution centre equipment and machines: Roll cages,120
Warehouse and distribution centre equipment and machines: Trolleys,120
Warehouse and distribution centre equipment and machines: Voice picking assets: Battery chargers,48
Warehouse and distribution centre equipment and machines: Voice picking assets: Headsets,48
Warehouse and distribution centre equipment and machines: Voice picking assets: Terminals (on person),48
Warehouse and distribution centre equipment and machines: Waste compactors (used for cardboard and plastic): Electric,180
Warehouse and distribution centre equipment and machines: Waste compactors (used for cardboard and plastic): Hydraulic,240
"Waste storage and disposal bins (including crane bins, hooklift bins, skip bins and other industrial use bins)",120
Weighbridges,240
Welders: Diesel,120
Welders: Electric,60
Welders: Oxygen welders and cutters,120
Window blinds,180
Working beasts and beasts of burden (including camels and horses but excluding working dogs) used in a business other than primary production,180
"Working dogs (including certified therapy dogs used by qualified therapists, detection dogs, guard dogs, performing dogs, police dogs and security dogs; but excluding assistance dogs (such as guide dogs, hearing dogs and service dogs), pet dogs, racing dogs, support dogs, and working dogs used in primary production)",96
